MongoDB shell version: 3.2.8
connecting to: photometers
name,tamb,tsky,mag,tstamp,latitude,longitude
stars92,6.25,-2.69,0,2017-10-28T05:57:05Z,42.6378,23.3333
stars52,13.16,-10.86,14.47,2017-10-28T05:57:05Z,36.87928471,-2.43834458
stars78,12.94,8.53,15.76,2017-10-28T05:57:04Z,53.2872217,-6.2479933
stars18,10.36,-28.99,13.98,2017-10-28T05:57:03Z,40.037077,-1.001815
stars27,6.13,-24.21,17.96,2017-10-28T05:57:01Z,31.2060587,-7.8687202
stars56,20.63,2.95,20,2017-10-28T05:56:58Z,37.81391,-25.56859
stars76,17.28,-5.79,12.77,2017-10-28T05:56:56Z,39.478898,-0.376524
stars18,10.42,-29.11,14.03,2017-10-28T05:56:53Z,40.037077,-1.001815
stars8,12.83,-7.15,15.86,2017-10-28T05:56:47Z,42.71167,-1.86509
stars11,16.6,-11.74,16.66,2017-10-28T05:56:47Z,36.87,-6.26
stars1,11.07,-15.39,16.67,2017-10-28T05:56:46Z,40.4246043,-3.560279
stars70,24.06,3.2,20.82,2017-10-28T05:56:44Z,28.5258381,-14.0050689
stars4,26.58,14.87,17.72,2017-10-28T05:56:44Z,28.6865,-17.7665
stars18,10.47,-28.89,14.07,2017-10-28T05:56:43Z,40.037077,-1.001815
stars83,8.07,6.65,8.73,2017-10-28T05:56:38Z,59.267231,18.137398
stars79,24.16,14.69,20.98,2017-10-28T05:56:36Z,16.8640833,-24.86783333
stars32,12.64,-14.13,16.96,2017-10-28T05:56:36Z,40.628752,-3.90066
stars52,13.19,-11.01,14.59,2017-10-28T05:56:35Z,36.87928471,-2.43834458
stars48,11.56,-15.24,16.57,2017-10-28T05:56:34Z,40.406135,-3.8385415
stars9,15.09,-14.24,17.12,2017-10-28T05:56:33Z,38.409226,-4.894376
stars35,7.32,-13.57,0,2017-10-28T05:56:33Z,45.93,13.91
stars18,10.48,-28.68,14.11,2017-10-28T05:56:33Z,40.037077,-1.001815
stars63,13.89,-11.34,19.99,2017-10-28T05:56:33Z,28.2983,-16.51048
stars47,11.65,-9.84,0,2017-10-28T05:56:32Z,45.40315,11.8845
stars2,10.19,-24.23,16,2017-10-28T05:56:31Z,41.0012989,-2.492408
stars90,24.97,12.64,18.35,2017-10-28T05:56:29Z,,
stars15,16.09,-10.65,17.4,2017-10-28T05:56:23Z,38.3149,-5.28355
stars18,10.49,-28.77,14.15,2017-10-28T05:56:23Z,40.037077,-1.001815
stars1,11.08,-15.4,16.76,2017-10-28T05:56:15Z,40.4246043,-3.560279
stars71,15.92,-4.6,13,2017-10-28T05:56:14Z,43.5681472,1.327194444
stars19,20.59,-3.34,19.99,2017-10-28T05:56:13Z,32.223877,-110.767532
stars18,10.49,-28.6,14.19,2017-10-28T05:56:13Z,40.037077,-1.001815
stars7,16.08,8.25,14.35,2017-10-28T05:56:09Z,42.81732,-1.64543
stars62,10.3,-20.07,13.39,2017-10-28T05:56:08Z,42.024592,0.7347973
stars69,17.11,-11.49,20.06,2017-10-28T05:56:08Z,42.6106406,-8.3708311
stars64,8.73,-8.33,0,2017-10-28T05:56:07Z,45.0510358,10.9197606
stars21,12.57,-17.07,16.9,2017-10-28T05:56:06Z,,
stars92,6.2,-1.85,0,2017-10-28T05:56:05Z,42.6378,23.3333
stars52,13.23,-11.08,14.7,2017-10-28T05:56:05Z,36.87928471,-2.43834458
stars78,12.9,8.51,15.77,2017-10-28T05:56:04Z,53.2872217,-6.2479933
stars18,10.48,-28.41,14.23,2017-10-28T05:56:03Z,40.037077,-1.001815
stars56,20.63,2.74,20.02,2017-10-28T05:55:58Z,37.81391,-25.56859
stars76,17.26,-5.89,13.01,2017-10-28T05:55:56Z,39.478898,-0.376524
stars18,10.44,-28.61,14.27,2017-10-28T05:55:53Z,40.037077,-1.001815
stars8,12.84,-7.43,15.99,2017-10-28T05:55:47Z,42.71167,-1.86509
stars11,16.56,-11.66,16.86,2017-10-28T05:55:47Z,36.87,-6.26
stars1,11.1,-15.5,16.83,2017-10-28T05:55:45Z,40.4246043,-3.560279
stars4,26.55,14.86,17.78,2017-10-28T05:55:44Z,28.6865,-17.7665
stars18,10.39,-28.68,14.31,2017-10-28T05:55:43Z,40.037077,-1.001815
stars70,24.01,3.19,20.84,2017-10-28T05:55:43Z,28.5258381,-14.0050689
stars83,8.05,6.46,8.97,2017-10-28T05:55:38Z,59.267231,18.137398
stars79,24.17,14.33,20.98,2017-10-28T05:55:36Z,16.8640833,-24.86783333
stars32,12.66,-14.09,17.13,2017-10-28T05:55:36Z,40.628752,-3.90066
stars52,13.28,-10.85,14.81,2017-10-28T05:55:35Z,36.87928471,-2.43834458
stars48,11.59,-15.18,16.73,2017-10-28T05:55:34Z,40.406135,-3.8385415
stars9,15.08,-14.21,17.3,2017-10-28T05:55:33Z,38.409226,-4.894376
stars35,7.27,-13.78,0,2017-10-28T05:55:33Z,45.93,13.91
stars18,10.31,-28.76,14.35,2017-10-28T05:55:33Z,40.037077,-1.001815
stars63,13.83,-11.26,19.99,2017-10-28T05:55:33Z,28.2983,-16.51048
stars47,11.66,-9.37,0.09,2017-10-28T05:55:32Z,45.40315,11.8845
stars2,9.82,-24.02,16.24,2017-10-28T05:55:30Z,41.0012989,-2.492408
stars90,24.98,12.64,18.35,2017-10-28T05:55:29Z,,
stars18,10.24,-29.02,14.39,2017-10-28T05:55:23Z,40.037077,-1.001815
stars15,15.98,-10.24,17.6,2017-10-28T05:55:22Z,38.3149,-5.28355
stars4,26.54,14.75,17.83,2017-10-28T05:55:14Z,28.6865,-17.7665
